2026-03-10 20:48:51,1,0,1,0,0
2026-03-10 20:48:51,1,0,1,0,0
2026-03-10 20:48:52,1,0,1,0,0
2026-03-10 20:48:52,1,0,1,0,0
2026-03-10 20:48:52,1,0,1,0,0
2026-03-10 20:48:52,1,0,1,0,0
2026-03-10 20:48:52,1,0,1,0,0
2026-03-10 20:48:52,1,0,1,0,0
2026-03-10 20:48:53,1,0,1,0,0
2026-03-10 20:48:53,1,0,1,0,0
2026-03-10 20:48:53,1,0,1,0,0
2026-03-10 20:48:53,1,0,1,0,0
2026-03-10 20:48:53,1,0,1,0,0
2026-03-10 20:48:53,1,0,1,0,0
2026-03-10 20:48:54,1,0,1,0,0
2026-03-10 20:48:54,1,0,1,0,0
2026-03-10 20:48:54,1,0,1,0,0
2026-03-10 20:48:54,1,0,1,0,0
2026-03-10 20:48:54,1,0,1,0,0
2026-03-10 20:48:54,1,0,1,0,0
2026-03-10 20:48:55,1,0,1,0,0
2026-03-10 20:48:55,1,0,1,0,0
2026-03-10 20:48:55,1,0,1,0,0
2026-03-10 20:48:55,1,0,1,0,0
2026-03-10 20:48:55,1,0,1,0,0
2026-03-10 20:48:55,1,0,1,0,0
2026-03-10 20:48:56,1,0,1,0,0
2026-03-10 20:48:56,1,0,1,0,0
2026-03-10 20:48:56,1,0,1,0,0
2026-03-10 20:48:56,1,0,1,0,0
2026-03-10 20:48:56,1,0,1,0,0
2026-03-10 20:48:57,1,0,1,0,0
2026-03-10 20:48:57,1,0,1,0,0
2026-03-10 20:48:57,1,0,1,0,0
2026-03-10 20:48:57,1,0,1,0,0
2026-03-10 20:48:57,1,0,1,0,0
2026-03-10 20:48:57,1,0,1,0,0
2026-03-10 20:48:58,1,0,1,0,0
2026-03-10 20:48:58,1,0,1,0,0
2026-03-10 20:48:58,1,0,1,0,0
2026-03-10 20:48:58,1,0,1,0,0
2026-03-10 20:48:58,1,0,1,0,0
2026-03-10 20:48:58,1,0,1,0,0
2026-03-10 20:48:59,1,0,1,0,0
2026-03-10 20:48:59,1,0,1,0,0
2026-03-10 20:48:59,1,0,1,0,0
2026-03-10 20:48:59,1,0,1,0,0
2026-03-10 20:48:59,1,0,1,0,0
2026-03-10 20:48:59,1,0,1,0,0
2026-03-10 20:49:00,1,0,1,0,0
2026-03-10 20:49:00,1,0,1,0,0
2026-03-10 20:49:00,1,0,1,0,0
2026-03-10 20:49:00,1,0,1,0,0
2026-03-10 20:49:00,1,0,1,0,0
2026-03-10 20:49:00,1,0,1,0,0
2026-03-10 20:49:01,1,0,1,0,0
2026-03-10 20:49:01,1,0,1,0,0
2026-03-10 20:49:01,1,0,1,0,0
2026-03-10 20:49:01,1,0,1,0,0
2026-03-10 20:49:01,1,0,1,0,0
2026-03-10 20:49:01,1,0,1,0,0
2026-03-10 20:49:02,1,0,1,0,0
2026-03-10 20:49:02,1,0,1,0,0
2026-03-10 20:49:02,1,0,1,0,0
2026-03-10 20:49:02,1,0,1,0,0
2026-03-10 20:49:02,1,0,1,0,0
2026-03-10 20:49:02,1,0,1,0,0
2026-03-10 20:49:03,1,0,1,0,0
2026-03-10 20:49:03,1,0,1,0,0
2026-03-10 20:49:03,1,0,1,0,0
2026-03-10 20:49:03,1,0,1,0,0
2026-03-10 20:49:03,1,0,1,0,0
2026-03-10 20:49:03,1,0,1,0,0
2026-03-10 20:49:04,1,0,1,0,0
2026-03-10 20:49:04,1,0,1,0,0
2026-03-10 20:49:04,1,0,1,0,0
2026-03-10 20:49:04,1,0,1,0,0
2026-03-10 20:49:04,1,0,1,0,0
2026-03-10 20:49:05,1,0,1,0,0
2026-03-10 20:49:05,1,0,1,0,0
2026-03-10 20:49:05,1,0,1,0,0
2026-03-10 20:49:05,1,0,1,0,0
2026-03-10 20:49:05,1,0,1,0,0
2026-03-10 20:49:05,1,0,1,0,0
2026-03-10 20:49:06,1,0,1,0,0
2026-03-10 20:49:06,1,0,1,0,0
2026-03-10 20:49:06,1,0,1,0,0
2026-03-10 20:49:06,1,0,1,0,0
2026-03-10 20:49:06,1,0,1,0,0
2026-03-10 20:49:06,1,0,1,0,0
2026-03-10 20:49:07,1,0,1,0,0
2026-03-10 20:49:07,1,0,1,0,0
2026-03-10 20:49:07,1,0,1,0,0
2026-03-10 20:49:07,1,0,1,0,0
2026-03-10 20:49:07,1,0,1,0,0
2026-03-10 20:49:07,1,0,1,0,0
2026-03-10 20:49:08,1,0,1,0,0
2026-03-10 20:49:08,1,0,1,0,0
2026-03-10 20:49:08,1,0,1,0,0
2026-03-10 20:49:08,1,0,1,0,0
2026-03-10 20:49:08,1,0,1,0,0
2026-03-10 20:49:08,1,0,1,0,0
2026-03-10 20:49:09,1,0,1,0,0
2026-03-10 20:49:09,1,0,1,0,0
2026-03-10 20:49:09,1,0,1,0,0
2026-03-10 20:49:09,1,0,1,0,0
2026-03-10 20:49:09,1,0,1,0,0
2026-03-10 20:49:09,1,0,1,0,0
2026-03-10 20:49:10,1,0,1,0,0
2026-03-10 20:49:10,1,0,1,0,0
2026-03-10 20:49:10,1,0,1,0,0
2026-03-10 20:49:10,1,0,1,0,0
2026-03-10 20:49:10,1,0,1,0,0
2026-03-10 20:49:10,1,0,1,0,0
2026-03-10 20:49:11,1,0,1,0,0
2026-03-10 20:49:11,1,0,1,0,0
2026-03-10 20:49:11,1,0,1,0,0
2026-03-10 20:49:11,1,0,1,0,0
2026-03-10 20:49:11,1,0,1,0,0
2026-03-10 20:49:12,1,0,1,0,0
2026-03-10 20:49:12,1,0,1,0,0
2026-03-10 20:49:12,1,0,1,0,0
2026-03-10 20:49:12,1,0,1,0,0
2026-03-10 20:49:12,1,0,1,0,0
2026-03-10 20:49:12,1,0,1,0,0
2026-03-10 20:49:13,1,0,1,0,0
2026-03-10 20:49:13,1,0,1,0,0
2026-03-10 20:49:13,1,0,1,0,0
2026-03-10 20:49:13,1,0,1,0,0
2026-03-10 20:49:13,1,0,1,0,0
2026-03-10 20:49:13,1,0,1,0,0
2026-03-10 20:49:14,1,0,1,0,0
2026-03-10 20:49:14,1,0,1,0,0
2026-03-10 20:49:14,1,0,1,0,0
2026-03-10 20:49:14,1,0,1,0,0
2026-03-10 20:49:14,1,0,1,0,0
2026-03-10 20:49:14,1,0,1,0,0
2026-03-10 20:49:15,1,0,1,0,0
2026-03-10 20:49:15,1,0,1,0,0
2026-03-10 20:49:15,1,0,1,0,0
2026-03-10 20:49:15,1,0,1,0,0
2026-03-10 20:49:15,1,0,1,0,0
2026-03-10 20:49:16,1,0,1,0,0
2026-03-10 20:49:16,1,0,1,0,0
2026-03-10 20:49:16,1,0,1,0,0
2026-03-10 20:49:16,1,0,1,0,0
2026-03-10 20:49:16,1,0,1,0,0
2026-03-10 20:49:16,1,0,1,0,0
2026-03-10 20:49:17,1,0,1,0,0
2026-03-10 20:49:17,1,0,1,0,0
2026-03-10 20:49:17,1,0,1,0,0
2026-03-10 20:49:17,1,0,1,0,0
2026-03-10 20:49:17,1,0,1,0,0
2026-03-10 20:49:17,1,0,1,0,0
2026-03-10 20:49:18,1,0,1,0,0
2026-03-10 20:49:18,1,0,1,0,0
2026-03-10 20:49:18,1,0,1,0,0
2026-03-10 20:49:18,1,0,1,0,0
2026-03-10 20:49:18,1,0,1,0,0
2026-03-10 20:49:19,1,0,1,0,0
2026-03-10 20:49:19,1,0,1,0,0
2026-03-10 20:49:19,1,0,1,0,0
2026-03-10 20:49:19,1,0,1,0,0
2026-03-10 20:49:19,1,0,1,0,0
2026-03-10 20:49:20,1,0,1,0,0
2026-03-10 20:49:20,1,0,1,0,0
2026-03-10 20:49:20,1,0,1,0,0
2026-03-10 20:49:20,1,0,1,0,0
2026-03-10 20:49:20,1,0,1,0,0
2026-03-10 20:49:20,1,0,1,0,0
2026-03-10 20:49:21,1,0,1,0,0
2026-03-10 20:49:21,1,0,1,0,0
2026-03-10 20:49:21,1,0,1,0,0
2026-03-10 20:49:21,1,0,1,0,0
2026-03-10 20:49:21,1,0,1,0,0
2026-03-10 20:49:21,1,0,1,0,0
2026-03-10 20:49:21,1,0,1,0,0
2026-03-10 20:49:22,1,0,1,0,0
2026-03-10 20:49:22,1,0,1,0,0
2026-03-10 20:49:22,1,0,1,0,0
2026-03-10 20:49:22,1,0,1,0,0
2026-03-10 20:49:22,1,0,1,0,0
2026-03-10 20:49:23,1,0,1,0,0
2026-03-10 20:49:23,1,0,1,0,0
2026-03-10 20:49:23,1,0,1,0,0
2026-03-10 20:49:23,1,0,1,0,0
2026-03-10 20:49:23,1,0,1,0,0
2026-03-10 20:49:23,1,0,1,0,0
2026-03-10 20:49:23,1,0,1,0,0
2026-03-10 20:49:24,1,0,1,0,0
2026-03-10 20:49:24,1,0,1,0,0
2026-03-10 20:49:24,1,0,1,0,0
2026-03-10 20:49:24,1,0,1,0,0
2026-03-10 20:49:24,1,0,1,0,0
2026-03-10 20:49:25,1,0,1,0,0
2026-03-10 20:49:25,1,0,1,0,0
2026-03-10 20:49:25,1,0,1,0,0
2026-03-10 20:49:25,1,0,1,0,0
2026-03-10 20:49:25,1,0,1,0,0
2026-03-10 20:49:25,1,0,1,0,0
2026-03-10 20:49:25,1,0,1,0,0
2026-03-10 20:49:26,1,0,1,0,0
2026-03-10 20:49:26,1,0,1,0,0
2026-03-10 20:49:26,1,0,1,0,0
2026-03-10 20:49:26,1,0,1,0,0
2026-03-10 20:49:26,1,0,1,0,0
2026-03-10 20:49:26,1,0,1,0,0
2026-03-10 20:49:27,1,0,1,0,0
2026-03-10 20:49:27,1,0,1,0,0
2026-03-10 20:49:27,1,0,1,0,0
2026-03-10 20:49:27,1,0,1,0,0
2026-03-10 20:49:27,1,0,1,0,0
2026-03-10 20:49:27,1,0,1,0,0
2026-03-10 20:49:28,1,0,1,0,0
2026-03-10 20:49:28,1,0,1,0,0
2026-03-10 20:49:28,1,0,1,0,0
2026-03-10 20:49:28,1,0,1,0,0
2026-03-10 20:49:28,1,0,1,0,0
2026-03-10 20:49:28,1,0,1,0,0
2026-03-10 20:49:29,1,0,1,0,0
2026-03-10 20:49:29,1,0,1,0,0
2026-03-10 20:49:29,1,0,1,0,0
2026-03-10 20:49:29,1,0,1,0,0
2026-03-10 20:49:29,1,0,1,0,0
2026-03-10 20:49:29,1,0,1,0,0
2026-03-10 20:49:30,1,0,1,0,0
2026-03-10 20:49:30,1,0,1,0,0
2026-03-10 20:49:30,1,0,1,0,0
2026-03-10 20:49:30,1,0,1,0,0
2026-03-10 20:49:30,1,0,1,0,0
2026-03-10 20:49:30,1,0,1,0,0
2026-03-10 20:49:31,1,0,1,0,0
2026-03-10 20:49:31,1,0,1,0,0
2026-03-10 20:49:31,1,0,1,0,0
2026-03-10 20:49:31,1,0,1,0,0
2026-03-10 20:49:31,1,0,1,0,0
2026-03-10 20:49:31,1,0,1,0,0
2026-03-10 20:49:31,1,0,1,0,0
2026-03-10 20:49:32,1,0,1,0,0
2026-03-10 20:49:32,1,0,1,0,0
2026-03-10 20:49:32,1,0,1,0,0
2026-03-10 20:49:32,1,0,1,0,0
2026-03-10 20:49:32,1,0,1,0,0
2026-03-10 20:49:33,1,0,1,0,0
2026-03-10 20:49:33,1,0,1,0,0
2026-03-10 20:49:33,1,0,1,0,0
2026-03-10 20:49:33,1,0,1,0,0
2026-03-10 20:49:33,1,0,1,0,0
2026-03-10 20:49:33,1,0,1,0,0
2026-03-10 20:49:34,1,0,1,0,0
2026-03-10 20:49:34,1,0,1,0,0
2026-03-10 20:49:34,1,0,1,0,0
2026-03-10 20:49:34,1,0,1,0,0
2026-03-10 20:49:34,1,0,1,0,0
2026-03-10 20:49:34,1,0,1,0,0
2026-03-10 20:49:35,1,0,1,0,0
2026-03-10 20:49:35,1,0,1,0,0
2026-03-10 20:49:35,1,0,1,0,0
2026-03-10 20:49:35,1,0,1,0,0
2026-03-10 20:49:35,1,0,1,0,0
2026-03-10 20:49:35,1,0,1,0,0
2026-03-10 20:49:35,1,0,1,0,0
2026-03-10 20:49:36,1,0,1,0,0
2026-03-10 20:49:36,1,0,1,0,0
2026-03-10 20:49:36,1,0,1,0,0
2026-03-10 20:49:36,1,0,1,0,0
2026-03-10 20:49:36,1,0,1,0,0
2026-03-10 20:49:36,1,0,1,0,0
2026-03-10 20:49:37,1,0,1,0,0
2026-03-10 20:49:37,1,0,1,0,0
2026-03-10 20:49:37,1,0,1,0,0
2026-03-10 20:49:37,1,0,1,0,0
2026-03-10 20:49:37,1,0,1,0,0
2026-03-10 20:49:37,1,0,1,0,0
2026-03-10 20:49:38,1,0,1,0,0
2026-03-10 20:49:38,1,0,1,0,0
2026-03-10 20:49:38,1,0,1,0,0
2026-03-10 20:49:38,1,0,1,0,0
2026-03-10 20:49:38,1,0,1,0,0
2026-03-10 20:49:38,1,0,1,0,0
2026-03-10 20:49:39,1,0,1,0,0
2026-03-10 20:49:39,1,0,1,0,0
2026-03-10 20:49:39,1,0,1,0,0
2026-03-10 20:49:39,1,0,1,0,0
2026-03-10 20:49:39,1,0,1,0,0
2026-03-10 20:49:39,1,0,1,0,0
2026-03-10 20:49:40,1,0,1,0,0
2026-03-10 20:49:40,1,0,1,0,0
2026-03-10 20:49:40,1,0,1,0,0
2026-03-10 20:49:40,1,0,1,0,0
2026-03-10 20:49:40,1,0,1,0,0
2026-03-10 20:49:40,1,0,1,0,0
2026-03-10 20:49:41,1,0,1,0,0
2026-03-10 20:49:41,1,0,1,0,0
2026-03-10 20:49:41,1,0,1,0,0
2026-03-10 20:49:41,1,0,1,0,0
2026-03-10 20:49:41,1,0,1,0,0
2026-03-10 20:49:41,1,0,1,0,0
2026-03-10 20:49:42,1,0,1,0,0
2026-03-10 20:49:42,1,0,1,0,0
2026-03-10 20:49:42,1,0,1,0,0
2026-03-10 20:49:42,1,0,1,0,0
2026-03-10 20:49:42,1,0,1,0,0
2026-03-10 20:49:42,1,0,1,0,0
2026-03-10 20:49:43,1,0,1,0,0
2026-03-10 20:49:43,1,0,1,0,0
2026-03-10 20:49:43,1,0,1,0,0
2026-03-10 20:49:43,1,0,1,0,0
2026-03-10 20:49:43,1,0,1,0,0
2026-03-10 20:49:43,1,0,1,0,0
2026-03-10 20:49:44,1,0,1,0,0
2026-03-10 20:49:44,1,0,1,0,0
2026-03-10 20:49:44,1,0,1,0,0
2026-03-10 20:49:44,1,0,1,0,0
2026-03-10 20:49:44,1,0,1,0,0
2026-03-10 20:49:44,1,0,1,0,0
2026-03-10 20:49:45,1,0,1,0,0
2026-03-10 20:49:45,1,0,1,0,0
2026-03-10 20:49:45,1,0,1,0,0
2026-03-10 20:49:45,1,0,1,0,0
2026-03-10 20:49:45,1,0,1,0,0
2026-03-10 20:49:45,1,0,1,0,0
2026-03-10 20:49:46,1,0,1,0,0
2026-03-10 20:49:46,1,0,1,0,0
2026-03-10 20:49:46,1,0,1,0,0
2026-03-10 20:49:46,1,0,1,0,0
2026-03-10 20:49:46,1,0,1,0,0
2026-03-10 20:49:46,1,0,1,0,0
2026-03-10 20:49:47,1,0,1,0,0
2026-03-10 20:49:47,1,0,1,0,0
2026-03-10 20:49:47,1,0,1,0,0
2026-03-10 20:49:47,1,0,1,0,0
2026-03-10 20:49:47,1,0,1,0,0
2026-03-10 20:49:48,1,0,1,0,0
2026-03-10 20:49:48,1,0,1,0,0
2026-03-10 20:49:48,1,0,1,0,0
2026-03-10 20:49:48,1,0,1,0,0
2026-03-10 20:49:48,1,0,1,0,0
2026-03-10 20:49:48,1,0,1,0,0
2026-03-10 20:49:49,1,0,1,0,0
2026-03-10 20:49:49,1,0,1,0,0
2026-03-10 20:49:49,1,0,1,0,0
2026-03-10 20:49:49,1,0,1,0,0
2026-03-10 20:49:49,1,0,1,0,0
2026-03-10 20:49:49,1,0,1,0,0
2026-03-10 20:49:49,1,0,1,0,0
2026-03-10 20:49:50,1,0,1,0,0
2026-03-10 20:49:50,1,0,1,0,0
2026-03-10 20:49:50,1,0,1,0,0
2026-03-10 20:49:50,1,0,1,0,0
2026-03-10 20:49:50,1,0,1,0,0
2026-03-10 20:49:50,1,0,1,0,0
2026-03-10 20:49:51,1,0,1,0,0
2026-03-10 20:49:51,1,0,1,0,0
2026-03-10 20:49:51,1,0,1,0,0
2026-03-10 20:49:51,1,0,1,0,0
2026-03-10 20:49:51,1,0,1,0,0
2026-03-10 20:49:51,1,0,1,0,0
2026-03-10 20:49:52,1,0,1,0,0
2026-03-10 20:49:52,1,0,1,0,0
2026-03-10 20:49:52,1,0,1,0,0
2026-03-10 20:49:52,1,0,1,0,0
2026-03-10 20:49:52,1,0,1,0,0
2026-03-10 20:49:52,1,0,1,0,0
2026-03-10 20:49:53,1,0,1,0,0
2026-03-10 20:49:53,1,0,1,0,0
2026-03-10 20:49:53,1,0,1,0,0
2026-03-10 20:49:53,1,0,1,0,0
2026-03-10 20:49:53,1,0,1,0,0
2026-03-10 20:49:53,1,0,1,0,0
2026-03-10 20:49:54,1,0,1,0,0
2026-03-10 20:49:54,1,0,1,0,0
2026-03-10 20:49:54,1,0,1,0,0
2026-03-10 20:49:54,1,0,1,0,0
2026-03-10 20:49:54,1,0,1,0,0
2026-03-10 20:49:55,1,0,1,0,0
2026-03-10 20:49:55,1,0,1,0,0
2026-03-10 20:49:55,1,0,1,0,0
2026-03-10 20:49:55,1,0,1,0,0
2026-03-10 20:49:55,1,0,1,0,0
2026-03-10 20:49:56,1,0,1,0,0
2026-03-10 20:49:56,1,0,1,0,0
2026-03-10 20:49:56,1,0,1,0,0
2026-03-10 20:49:56,1,0,1,0,0
2026-03-10 20:49:56,1,0,1,0,0
2026-03-10 20:49:56,1,0,1,0,0
2026-03-10 20:49:56,1,0,1,0,0
2026-03-10 20:49:57,1,0,1,0,0
2026-03-10 20:49:57,1,0,1,0,0
2026-03-10 20:49:57,1,0,1,0,0
2026-03-10 20:49:57,1,0,1,0,0
2026-03-10 20:49:57,1,0,1,0,0
2026-03-10 20:49:57,1,0,1,0,0
2026-03-10 20:49:58,1,0,1,0,0
2026-03-10 20:49:58,1,0,1,0,0
2026-03-10 20:49:58,1,0,1,0,0
2026-03-10 20:49:58,1,0,1,0,0
2026-03-10 20:49:58,1,0,1,0,0
2026-03-10 20:49:58,1,0,1,0,0
2026-03-10 20:49:59,1,0,1,0,0
2026-03-10 20:49:59,1,0,1,0,0
2026-03-10 20:49:59,1,0,1,0,0
2026-03-10 20:49:59,1,0,1,0,0
2026-03-10 20:49:59,1,0,1,0,0
2026-03-10 20:49:59,1,0,1,0,0
2026-03-10 20:50:00,1,0,1,0,0
2026-03-10 20:50:00,1,0,1,0,0
2026-03-10 20:50:00,1,0,1,0,0
2026-03-10 20:50:00,1,0,1,0,0
2026-03-10 20:50:00,1,0,1,0,0
2026-03-10 20:50:00,1,0,1,0,0
2026-03-10 20:50:01,1,0,1,0,0
2026-03-10 20:50:01,1,0,1,0,0
2026-03-10 20:50:01,1,0,1,0,0
2026-03-10 20:50:01,1,0,1,0,0
2026-03-10 20:50:01,1,0,1,0,0
2026-03-10 20:50:01,1,0,1,0,0
2026-03-10 20:50:02,1,0,1,0,0
2026-03-10 20:50:02,1,0,1,0,0
2026-03-10 20:50:02,1,0,1,0,0
2026-03-10 20:50:02,1,0,1,0,0
2026-03-10 20:50:02,1,0,1,0,0
2026-03-10 20:50:02,1,0,1,0,0
2026-03-10 20:50:03,1,0,1,0,0
2026-03-10 20:50:03,1,0,1,0,0
2026-03-10 20:50:03,1,0,1,0,0
2026-03-10 20:50:03,1,0,1,0,0
2026-03-10 20:50:03,1,0,1,0,0
2026-03-10 20:50:03,1,0,1,0,0
2026-03-10 20:50:04,1,0,1,0,0
2026-03-10 20:50:04,1,0,1,0,0
2026-03-10 20:50:04,1,0,1,0,0
2026-03-10 20:50:04,1,0,1,0,0
2026-03-10 20:50:04,1,0,1,0,0
2026-03-10 20:50:04,1,0,1,0,0
2026-03-10 20:50:05,1,0,1,0,0
2026-03-10 20:50:05,1,0,1,0,0
2026-03-10 20:50:05,1,0,1,0,0
2026-03-10 20:50:05,1,0,1,0,0
2026-03-10 20:50:05,1,0,1,0,0
2026-03-10 20:50:06,1,0,1,0,0
2026-03-10 20:50:06,1,0,1,0,0
2026-03-10 20:50:06,1,0,1,0,0
2026-03-10 20:50:06,1,0,1,0,0
2026-03-10 20:50:06,1,0,1,0,0
2026-03-10 20:50:06,1,0,1,0,0
2026-03-10 20:50:07,1,0,1,0,0
2026-03-10 20:50:07,1,0,1,0,0
2026-03-10 20:50:07,1,0,1,0,0
2026-03-10 20:50:07,1,0,1,0,0
2026-03-10 20:50:07,1,0,1,0,0
2026-03-10 20:50:07,1,0,1,0,0
2026-03-10 20:50:08,1,0,1,0,0
2026-03-10 20:50:08,1,0,1,0,0
2026-03-10 20:50:08,1,0,1,0,0
2026-03-10 20:50:08,1,0,1,0,0
2026-03-10 20:50:08,1,0,1,0,0
2026-03-10 20:50:09,1,0,1,0,0
2026-03-10 20:50:09,1,0,1,0,0
2026-03-10 20:50:09,1,0,1,0,0
2026-03-10 20:50:09,1,0,1,0,0
2026-03-10 20:50:09,1,0,1,0,0
2026-03-10 20:50:09,1,0,1,0,0
2026-03-10 20:50:10,1,0,1,0,0
2026-03-10 20:50:10,1,0,1,0,0
2026-03-10 20:50:10,1,0,1,0,0
2026-03-10 20:50:10,1,0,1,0,0
2026-03-10 20:50:10,1,0,1,0,0
2026-03-10 20:50:10,1,0,1,0,0
2026-03-10 20:50:11,1,0,1,0,0
2026-03-10 20:50:11,1,0,1,0,0
2026-03-10 20:50:11,1,0,1,0,0
2026-03-10 20:50:11,1,0,1,0,0
2026-03-10 20:50:11,1,0,1,0,0
2026-03-10 20:50:11,1,0,1,0,0
2026-03-10 20:50:12,1,0,1,0,0
2026-03-10 20:50:12,1,0,1,0,0
2026-03-10 20:50:12,1,0,1,0,0
2026-03-10 20:50:12,1,0,1,0,0
2026-03-10 20:50:12,1,0,1,0,0
2026-03-10 20:50:12,1,0,1,0,0
2026-03-10 20:50:13,1,0,1,0,0
2026-03-10 20:50:13,1,0,1,0,0
2026-03-10 20:50:13,1,0,1,0,0
2026-03-10 20:50:13,1,0,1,0,0
2026-03-10 20:50:13,1,0,1,0,0
2026-03-10 20:50:13,1,0,1,0,0
2026-03-10 20:50:14,1,0,1,0,0
2026-03-10 20:50:14,1,0,1,0,0
2026-03-10 20:50:14,1,0,1,0,0
2026-03-10 20:50:14,1,0,1,0,0
2026-03-10 20:50:14,1,0,1,0,0
2026-03-10 20:50:14,1,0,1,0,0
2026-03-10 20:50:15,1,0,1,0,0
2026-03-10 20:50:15,1,0,1,0,0
2026-03-10 20:50:15,1,0,1,0,0
2026-03-10 20:50:15,1,0,1,0,0
2026-03-10 20:50:15,1,0,1,0,0
2026-03-10 20:50:15,1,0,1,0,0
2026-03-10 20:50:16,1,0,1,0,0
2026-03-10 20:50:16,1,0,1,0,0
2026-03-10 20:50:16,1,0,1,0,0
2026-03-10 20:50:16,1,0,1,0,0
2026-03-10 20:50:16,1,0,1,0,0
2026-03-10 20:50:17,1,0,1,0,0
2026-03-10 20:50:17,1,0,1,0,0
2026-03-10 20:50:17,1,0,1,0,0
2026-03-10 20:50:17,1,0,1,0,0
2026-03-10 20:50:17,1,0,1,0,0
2026-03-10 20:50:17,1,0,1,0,0
2026-03-10 20:50:18,1,0,1,0,0
2026-03-10 20:50:18,1,0,1,0,0
2026-03-10 20:50:18,1,0,1,0,0
2026-03-10 20:50:18,1,0,1,0,0
2026-03-10 20:50:18,1,0,1,0,0
2026-03-10 20:50:18,1,0,1,0,0
2026-03-10 20:50:19,1,0,1,0,0
2026-03-10 20:50:19,1,0,1,0,0
2026-03-10 20:50:19,1,0,1,0,0
2026-03-10 20:50:19,1,0,1,0,0
2026-03-10 20:50:19,1,0,1,0,0
2026-03-10 20:50:19,1,0,1,0,0
2026-03-10 20:50:20,1,0,1,0,0
2026-03-10 20:50:20,1,0,1,0,0
2026-03-10 20:50:20,1,0,1,0,0
2026-03-10 20:50:20,1,0,1,0,0
2026-03-10 20:50:20,1,0,1,0,0
2026-03-10 20:50:20,1,0,1,0,0
2026-03-10 20:50:21,1,0,1,0,0
2026-03-10 20:50:21,1,0,1,0,0
2026-03-10 20:50:21,1,0,1,0,0
2026-03-10 20:50:21,1,0,1,0,0
2026-03-10 20:50:21,1,0,1,0,0
2026-03-10 20:50:21,1,0,1,0,0
2026-03-10 20:50:22,1,0,1,0,0
2026-03-10 20:50:22,1,0,1,0,0
2026-03-10 20:50:22,1,0,1,0,0
2026-03-10 20:50:22,1,0,1,0,0
2026-03-10 20:50:22,1,0,1,0,0
2026-03-10 20:50:22,1,0,1,0,0
2026-03-10 20:50:23,1,0,1,0,0
2026-03-10 20:50:23,1,0,1,0,0
2026-03-10 20:50:23,1,0,1,0,0
2026-03-10 20:50:23,1,0,1,0,0
2026-03-10 20:50:23,1,0,1,0,0
2026-03-10 20:50:23,1,0,1,0,0
2026-03-10 20:50:24,1,0,1,0,0
2026-03-10 20:50:24,1,0,1,0,0
2026-03-10 20:50:24,1,0,1,0,0
2026-03-10 20:50:24,1,0,1,0,0
2026-03-10 20:50:24,1,0,1,0,0
2026-03-10 20:50:25,1,0,1,0,0
2026-03-10 20:50:25,1,0,1,0,0
2026-03-10 20:50:25,1,0,1,0,0
2026-03-10 20:50:25,1,0,1,0,0
2026-03-10 20:50:25,1,0,1,0,0
2026-03-10 20:50:25,1,0,1,0,0
2026-03-10 20:50:26,1,0,1,0,0
2026-03-10 20:50:26,1,0,1,0,0
2026-03-10 20:50:26,1,0,1,0,0
2026-03-10 20:50:26,1,0,1,0,0
2026-03-10 20:50:26,1,0,1,0,0
2026-03-10 20:50:26,1,0,1,0,0
2026-03-10 20:50:27,1,0,1,0,0
2026-03-10 20:50:27,1,0,1,0,0
2026-03-10 20:50:27,1,0,1,0,0
2026-03-10 20:50:27,1,0,1,0,0
2026-03-10 20:50:27,1,0,1,0,0
2026-03-10 20:50:27,1,0,1,0,0
2026-03-10 20:50:28,1,0,1,0,0
2026-03-10 20:50:28,1,0,1,0,0
2026-03-10 20:50:28,1,0,1,0,0
2026-03-10 20:50:28,1,0,1,0,0
2026-03-10 20:50:28,1,0,1,0,0
2026-03-10 20:50:28,1,0,1,0,0
2026-03-10 20:50:29,1,0,1,0,0
2026-03-10 20:50:29,1,0,1,0,0
2026-03-10 20:50:29,1,0,1,0,0
2026-03-10 20:50:29,1,0,1,0,0
2026-03-10 20:50:29,1,0,1,0,0
2026-03-10 20:50:29,1,0,1,0,0
2026-03-10 20:50:30,1,0,1,0,0
2026-03-10 20:50:30,1,0,1,0,0
2026-03-10 20:50:30,1,0,1,0,0
2026-03-10 20:50:30,1,0,1,0,0
2026-03-10 20:50:30,1,0,1,0,0
2026-03-10 20:50:30,1,0,1,0,0
2026-03-10 20:50:31,1,0,1,0,0
2026-03-10 20:50:31,1,0,1,0,0
2026-03-10 20:50:31,1,0,1,0,0
2026-03-10 20:50:31,1,0,1,0,0
2026-03-10 20:50:31,1,0,1,0,0
2026-03-10 20:50:31,1,0,1,0,0
2026-03-10 20:50:32,1,0,1,0,0
2026-03-10 20:50:32,1,0,1,0,0
2026-03-10 20:50:32,1,0,1,0,0
2026-03-10 20:50:32,1,0,1,0,0
2026-03-10 20:50:32,1,0,1,0,0
2026-03-10 20:50:33,1,0,1,0,0
2026-03-10 20:50:33,1,0,1,0,0
2026-03-10 20:50:33,1,0,1,0,0
2026-03-10 20:50:33,1,0,1,0,0
2026-03-10 20:50:33,1,0,1,0,0
2026-03-10 20:50:33,1,0,1,0,0
2026-03-10 20:50:34,1,0,1,0,0
2026-03-10 20:50:34,1,0,1,0,0
2026-03-10 20:50:34,1,0,1,0,0
2026-03-10 20:50:34,1,0,1,0,0
